연도,경기날짜,경기시간,경기일시,요일,평일_주말,월,주차_ISO,홈팀,방문팀,구장,기상_매핑_지역키,관중수
2025,2025-05-22,,2025-05-22,목,평일,5,21,키움,삼성,고척,서울_고척,12926
2025,2025-05-23,,2025-05-23,금,평일,5,21,삼성,KIA,대구,대구,24000
2025,2025-05-23,,2025-05-23,금,평일,5,21,키움,KT,고척,서울_고척,4239
2025,2025-05-23,,2025-05-23,금,평일,5,21,SSG,LG,문학,인천,20150
2025,2025-05-23,,2025-05-23,금,평일,5,21,한화,롯데,대전,대전,17000
2025,2025-05-23,,2025-05-23,금,평일,5,21,두산,NC,잠실,서울_잠실,17944
2025,2025-05-24,,2025-05-24,토,주말,5,21,삼성,KIA,대구,대구,24000
2025,2025-05-24,,2025-05-24,토,주말,5,21,키움,KT,고척,서울_고척,7315
2025,2025-05-24,,2025-05-24,토,주말,5,21,SSG,LG,문학,인천,23000
2025,2025-05-24,,2025-05-24,토,주말,5,21,한화,롯데,대전,대전,17000
2025,2025-05-24,,2025-05-24,토,주말,5,21,두산,NC,잠실,서울_잠실,22279
2025,2025-05-25,,2025-05-25,일,주말,5,21,삼성,KIA,대구,대구,24000
2025,2025-05-25,,2025-05-25,일,주말,5,21,키움,KT,고척,서울_고척,6809
2025,2025-05-25,,2025-05-25,일,주말,5,21,SSG,LG,문학,인천,23000
2025,2025-05-25,,2025-05-25,일,주말,5,21,한화,롯데,대전,대전,17000
2025,2025-05-25,,2025-05-25,일,주말,5,21,두산,NC,잠실,서울_잠실,20534
2025,2025-05-27,,2025-05-27,화,평일,5,22,LG,한화,잠실,서울_잠실,23750
2025,2025-05-27,,2025-05-27,화,평일,5,22,삼성,롯데,대구,대구,24000
2025,2025-05-27,,2025-05-27,화,평일,5,22,SSG,NC,문학,인천,12124
2025,2025-05-27,,2025-05-27,화,평일,5,22,KT,두산,수원,경기_수원,8355
2025,2025-05-27,,2025-05-27,화,평일,5,22,KIA,키움,광주,광주,15351
2025,2025-05-28,,2025-05-28,수,평일,5,22,LG,한화,잠실,서울_잠실,23750
2025,2025-05-28,,2025-05-28,수,평일,5,22,SSG,NC,문학,인천,12747
2025,2025-05-28,,2025-05-28,수,평일,5,22,KT,두산,수원,경기_수원,8822
2025,2025-05-28,,2025-05-28,수,평일,5,22,KIA,키움,광주,광주,16517
2025,2025-05-29,,2025-05-29,목,평일,5,22,LG,한화,잠실,서울_잠실,23750
2025,2025-05-29,,2025-05-29,목,평일,5,22,삼성,롯데,대구,대구,24000
2025,2025-05-29,,2025-05-29,목,평일,5,22,SSG,NC,문학,인천,13466
2025,2025-05-29,,2025-05-29,목,평일,5,22,KT,두산,수원,경기_수원,9238
2025,2025-05-29,,2025-05-29,목,평일,5,22,KIA,키움,광주,광주,18127
2025,2025-05-30,,2025-05-30,금,평일,5,22,NC,한화,창원,경남_창원,12395
2025,2025-05-30,,2025-05-30,금,평일,5,22,KT,KIA,수원,경기_수원,18700
2025,2025-05-30,,2025-05-30,금,평일,5,22,키움,두산,고척,서울_고척,9182
2025,2025-05-30,,2025-05-30,금,평일,5,22,롯데,SSG,사직,부산,22669
2025,2025-05-30,,2025-05-30,금,평일,5,22,LG,삼성,잠실,서울_잠실,23750
2025,2025-05-31,,2025-05-31,토,주말,5,22,NC,한화,창원,경남_창원,16741
2025,2025-05-31,,2025-05-31,토,주말,5,22,KT,KIA,수원,경기_수원,18700
2025,2025-05-31,,2025-05-31,토,주말,5,22,키움,두산,고척,서울_고척,13456
2025,2025-05-31,,2025-05-31,토,주말,5,22,롯데,SSG,사직,부산,22669
2025,2025-05-31,,2025-05-31,토,주말,5,22,LG,삼성,잠실,서울_잠실,23750
2025,2025-06-01,,2025-06-01,일,주말,6,22,NC,한화,창원,경남_창원,14906
2025,2025-06-01,,2025-06-01,일,주말,6,22,KT,KIA,수원,경기_수원,18700
2025,2025-06-01,,2025-06-01,일,주말,6,22,키움,두산,고척,서울_고척,12350
2025,2025-06-01,,2025-06-01,일,주말,6,22,롯데,SSG,사직,부산,22669
2025,2025-06-01,,2025-06-01,일,주말,6,22,LG,삼성,잠실,서울_잠실,23750
2025,2025-06-03,,2025-06-03,화,평일,6,23,두산,KIA,잠실,서울_잠실,23750
2025,2025-06-03,,2025-06-03,화,평일,6,23,한화,KT,대전,대전,17000
2025,2025-06-03,,2025-06-03,화,평일,6,23,NC,LG,창원,경남_창원,13937
2025,2025-06-03,,2025-06-03,화,평일,6,23,SSG,삼성,문학,인천,23000
2025,2025-06-03,,2025-06-03,화,평일,6,23,롯데,키움,사직,부산,22669
2025,2025-06-04,,2025-06-04,수,평일,6,23,두산,KIA,잠실,서울_잠실,23750
2025,2025-06-04,,2025-06-04,수,평일,6,23,한화,KT,대전,대전,17000
